SNR_dB,Accuracy
-20.0,0.09287646528403967
-18.0,0.07936507936507936
-16.0,0.09892673821745217
-14.0,0.12980551786521935
-12.0,0.15735359856951275
-10.0,0.24333026678932843
-8.0,0.41861531407611186
-6.0,0.5898801597869507
-4.0,0.7353073126962764
-2.0,0.8700564971751412
0.0,0.8969267139479905
2.0,0.9185558354324097
4.0,0.9190453907346747
6.0,0.9322344322344323
8.0,0.9259770114942528
10.0,0.9297689170820118
12.0,0.942512749188688
14.0,0.9249775381850853
16.0,0.9188110026619344
18.0,0.9235895157707685
